sx,sx,st,st,st,st,st,st,st,st,st,st,st,st,st,t,t,t,t,t,t,x,x,x,x,x,r,r,r,r,dx,dx,dx,dx,dx,dt,dt,dt,dt,dt,dt,dt,dt,dt,dx,dx,dx,dx,dx,dx
sx,s,s,s,s,s,s,s,s,s,s,s,s,9ps,o,o,o,o,o,o,o,o,13p,o,6p,o,o,o,o,o,o,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,13pd,d,d,dr
sx,s,s,s,12ps,sr,s,s,s,3ps,s,sr,s,o,o,o,o,o,5p,o,o,o,o,t,t,t,t,t,t,t,t,t,9pd,d,d,d,d,d,d,d,d,d,6pd,d,d,d,d,d,8pd,dr
sx,s,11ps,sr,s,s,3ps,s,s,s,s,s,s,o,o,t,t,t,t,t,o,10p,o,o,13p,r,t,o,o,o,o,t,o,d,d,d,d,3pd,d,2pd,d,d,dt,d,d,d,2pd,dt,d,dr
sr,s,s,s,s,s,s,s,s,st,s,s,s,t,t,t,t,t,t,t,o,o,o,t,t,t,t,o,t,t,o,t,o,o,dt,d,d,d,d,dt,d,d,d,d,d,d,d,d,d,dx
sr,s,s,s,1ps,s,st,st,s,st,st,st,9ps,o,o,o,o,t,t,t,t,o,o,t,o,t,o,o,o,t,o,t,o,dr,d,d,d,d,d,d,8pd,dr,d,3pd,d,dc,d,d,3pd,dx
sr,s,s,s,s,s,st,s,s,st,st,s,s,o,o,o,o,o,o,o,t,t,o,t,o,o,o,t,o,t,o,t,5p,o,o,d,d,d,14pd,d,d,d,d,d,d,d,d,d,d,dt
sx,s,sc,s,s,6ps,st,st,s,st,3ps,s,o,r,o,o,o,o,o,o,t,t,o,t,o,t,t,t,o,t,o,t,o,o,t,o,d,d,dl,d,9pd,d,d,d,d,d,d,d,d,dt
sx,s,s,s,sr,s,st,st,s,s,s,s,o,o,o,t,o,10p,o,o,o,t,o,t,o,o,o,t,5p,t,o,t,o,o,o,o,o,4p,l,o,o,o,d,dt,dt,dt,6pd,dt,d,dt
sx,s,s,s,s,s,s,st,s,s,o,14p,o,o,t,t,o,o,o,1p,o,t,o,t,t,o,t,t,t,o,o,t,r,r,o,o,r,l,l,l,l,o,14pd,d,9pd,d,d,d,d,dt
sx,s,3ps,s,s,s,s,s,4ps,sl,l,l,o,o,o,o,t,t,o,o,o,t,o,r,o,o,t,c,t,o,t,t,o,r,o,o,o,o,l,l,l,l,l,o,o,d,d,d,d,dt
st,s,s,s,s,s,s,o,sl,l,l,4p,o,o,t,c,t,t,o,o,o,t,o,o,o,o,t,o,o,o,t,t,o,o,o,o,r,o,l,l,l,o,o,o,o,o,d,9pd,d,dt
